winter_pct,summer_pct,monsoon_pct,post_monsoon_pct,rainfall_cv,monsoon_dominance,annual_intensity,seasonal_entropy,Cluster,Climate_Regime
0.0588906316840154,0.1927491800941109,0.4303436475117639,0.3180165407101098,0.4868899057970688,0.7554443049089835,2.513169682852535,1.211307809420365,2,Post-Monsoon Dominant / Coastal Influence
0.0231123785522432,0.1603276187949729,0.5826839539742017,0.233876048678582,0.7095736435297058,1.3962653942024112,2.701755957713671,1.0350858530236118,0,Highly Monsoon-Dominated (Extreme Variability)
0.0166821130676552,0.1392235609103079,0.6468266227302372,0.1972677032917996,0.8142841153619359,1.831470500698347,2.6100161261422685,0.9448015254908072,0,Highly Monsoon-Dominated (Extreme Variability)
0.0404100137985413,0.2763979236480715,0.6073000854195413,0.0758919771338458,0.7854733777283541,1.5464736873199416,2.726930657588246,0.9836499501936108,0,Highly Monsoon-Dominated (Extreme Variability)
0.0279574689567997,0.1599623268148809,0.7456316454755001,0.0664485587528193,0.987798828594316,2.931306632630511,3.6146747894642535,0.7922117608793311,0,Highly Monsoon-Dominated (Extreme Variability)
0.058674254075669,0.2516917871424177,0.6062749923100584,0.0833589664718548,0.7051361895587099,1.5398437469924926,1.1650241892134026,1.0241138947534465,0,Highly Monsoon-Dominated (Extreme Variability)
0.0321713565728685,0.2202435951280974,0.6679266414671706,0.0796584068318633,0.8783908008177406,2.0113827976295253,3.1996953950904854,0.9148919894300924,0,Highly Monsoon-Dominated (Extreme Variability)
0.0404100137985413,0.2763979236480715,0.6073000854195413,0.0758919771338458,0.7854733777283541,1.5464736873199416,2.726930657588246,0.9836499501936108,0,Highly Monsoon-Dominated (Extreme Variability)
0.0930560451180824,0.3740649355735714,0.4203971331218423,0.1124818861865037,0.5388199414695422,0.7253192778395031,2.287493280774055,1.1988604705002328,1,Balanced Rainfall Regime
0.0680606111910606,0.3545528937046756,0.4605378255594119,0.1168486695448517,0.5833864421626456,0.8536980851272631,3.174968643612256,1.1584805264343288,0,Highly Monsoon-Dominated (Extreme Variability)
0.0299863832810372,0.2326682848854419,0.6647622994494109,0.0725830323841098,0.8613218014343594,1.9829580556441868,3.0265185450636083,0.9062524922818942,0,Highly Monsoon-Dominated (Extreme Variability)
0.1076466607672687,0.2930092134714486,0.5185570766748218,0.0807870490864608,0.5876564332143068,1.0770894139073528,1.721107328435764,1.1434119496808617,1,Balanced Rainfall Regime
0.0570182412939278,0.2655096431248722,0.581268031166943,0.0962040844142568,0.6757410915975929,1.3881625338316268,3.9438272710983697,1.056019680122381,0,Highly Monsoon-Dominated (Extreme Variability)
0.0379809071168107,0.223501454500758,0.6606711189412874,0.0778465194411439,0.8762685072903349,1.9469934774849147,2.186615301917219,0.9316946662716734,0,Highly Monsoon-Dominated (Extreme Variability)
0.0930560451180824,0.3740649355735714,0.4203971331218423,0.1124818861865037,0.5388199414695422,0.7253192778395031,2.287493280774055,1.1988604705002328,1,Balanced Rainfall Regime
0.0231511443195858,0.1571747955521562,0.731070188856857,0.0886038712714008,0.9616695119287204,2.718442350997109,3.0455115570686258,0.8217594676039233,0,Highly Monsoon-Dominated (Extreme Variability)
0.0607612388596188,0.2271899158008764,0.6136688167807376,0.098380028558767,0.7115023946237986,1.588452712734575,1.8194767962730691,1.0346582571848295,0,Highly Monsoon-Dominated (Extreme Variability)
0.0231511443195858,0.1571747955521562,0.731070188856857,0.0886038712714008,0.9616695119287204,2.718442350997109,3.0455115570686258,0.8217594676039233,0,Highly Monsoon-Dominated (Extreme Variability)
0.0687373396353814,0.2904794058068872,0.565608822867432,0.0751744316902993,0.6673843867683965,1.3020725375108058,1.9902347249596848,1.059999735648444,0,Highly Monsoon-Dominated (Extreme Variability)
0.0211723126166977,0.2724726593758336,0.6301347025873567,0.076220325420112,0.8057320795057088,1.7036870082901947,2.6869736606342944,0.9231048064595664,0,Highly Monsoon-Dominated (Extreme Variability)
0.017621820410665,0.2769945857595259,0.6431198283787924,0.0622637654510164,0.911527646640534,1.802060967794388,1.753986740727468,0.8835178824734354,0,Highly Monsoon-Dominated (Extreme Variability)
0.0128528715101153,0.2514270182114705,0.6640391410709431,0.0716809692074709,0.9471536362287712,1.9765372145439928,2.3072030102132235,0.863868980576219,0,Highly Monsoon-Dominated (Extreme Variability)
0.018087570309915,0.2777655233263483,0.6328995257527297,0.0712473806110069,0.8939629495313155,1.7240498697250264,1.624619243863107,0.9061111561600964,0,Highly Monsoon-Dominated (Extreme Variability)
0.0266848529360332,0.2007834085265624,0.7082852446402965,0.0642464938971076,0.921017871753192,2.428006231353548,2.5616376993370364,0.8397122493633247,0,Highly Monsoon-Dominated (Extreme Variability)
0.032465233881163,0.3412389380530973,0.5000252844500632,0.1262705436156763,0.6783499780050026,1.0001011419034074,1.771635907543451,1.0860291010806906,0,Highly Monsoon-Dominated (Extreme Variability)
0.0207818806096018,0.209806638154328,0.6776097825432204,0.0918016986928498,0.8628500943890351,2.1018310872536787,1.4872782655438093,0.891078321710153,0,Highly Monsoon-Dominated (Extreme Variability)
0.0294215058511812,0.2549679841024508,0.6455619342018106,0.0700485758445573,0.8653559940872457,1.821367385420702,1.6230066296362655,0.920933468928274,0,Highly Monsoon-Dominated (Extreme Variability)
0.0113601661271605,0.1897025590911867,0.7454345568924449,0.0535027178892078,1.0259676842189156,2.928262952341335,2.933703637340978,0.7418657842711285,0,Highly Monsoon-Dominated (Extreme Variability)
